tiempo,nivel,pozo_1,pozo_2,pozo_3
0,0.0,0.0,-1339.2243288544582,-2557.5964888665585
1,0.0,0.0,-1339.2243288544582,-2557.5964888665585
2,0.0,0.0,-1339.2243288544582,-2557.5964888665585
3,0.0,0.0,-1339.2243288544582,-2557.5964888665585
4,0.0,0.0,-1339.2243288544582,-2557.5964888665585
5,0.0,0.0,-1339.2243288544582,-2557.5964888665585
6,0.0,0.0,-1339.2243288544582,-2557.5964888665585
7,0.0,0.0,-1339.2243288544582,-2557.5964888665585
8,-6.99209408072276e-282,0.0,-1339.2243288544582,-2557.5964888665585
9,-1.6196936804784688e-250,0.0,-1339.2243288544582,-2557.5964888665585
10,-1.9790552316561602e-225,0.0,-1339.2243288544582,-2557.5964888665585
11,-6.580379272685085e-205,0.0,-1339.2243288544582,-2557.5964888665585
12,-8.249933445353464e-188,0.0,-1339.2243288544582,-2557.5964888665585
13,-2.4064151903966893e-173,0.0,-1339.2243288544582,-2557.5964888665585
14,-5.990801421318821e-161,0.0,-1339.2243288544582,-2557.5964888665585
15,-3.301522096740808e-150,0.0,-1339.2243288544582,-2557.5964888665585
16,-8.231498984659214e-141,0.0,-1339.2243288544582,-2557.5964888665585
17,-1.6037778373389168e-132,0.0,-1339.2243288544582,-2557.5964888665585
18,-3.735214083744432e-125,0.0,-1339.2243288544582,-2557.5964888665585
19,-1.4545365261547845e-118,0.0,-1339.2243288544582,-2557.5964888665585
20,-1.2386532828065067e-112,0.0,-1339.2243288544582,-2557.5964888665585
21,-2.866540481722888e-107,0.0,-1339.2243288544582,-2557.5964888665585
22,-2.153551152083637e-102,0.0,-1339.2243288544582,-2557.5964888665585
23,-6.082994044997286e-98,0.0,-1339.2243288544582,-2557.5964888665585
24,-7.301146707533353e-94,0.0,-1339.2243288544582,-2557.5964888665585
25,-4.126865756603982e-90,0.0,-1339.2243288544582,-2557.5964888665585
26,-1.1983494542460759e-86,0.0,-1339.2243288544582,-2557.5964888665585
27,-1.9251541174452242e-83,0.0,-1339.2243288544582,-2557.5964888665585
28,-1.823297485552144e-80,0.0,-1339.2243288544582,-2557.5964888665585
29,-1.0753479029912774e-77,0.0,-1339.2243288544582,-2557.5964888665585
30,-4.141530622279586e-75,0.0,-1339.2243288544582,-2557.5964888665585
31,-1.0855657355640459e-72,0.0,-1339.2243288544582,-2557.5964888665585
32,-2.0079554368628406e-70,0.0,-1339.2243288544582,-2557.5964888665585
33,-2.7056361686670184e-68,0.0,-1339.2243288544582,-2557.5964888665585
34,-2.731437714160852e-66,0.0,-1339.2243288544582,-2557.5964888665585
35,-2.1179458456302598e-64,0.0,-1339.2243288544582,-2557.5964888665585
36,-1.289537240891205e-62,0.0,-1339.2243288544582,-2557.5964888665585
37,-6.287859155163744e-61,0.0,-1339.2243288544582,-2557.5964888665585
38,-2.4990382670161746e-59,0.0,-1339.2243288544582,-2557.5964888665585
39,-8.22447023466783e-58,0.0,-1339.2243288544582,-2557.5964888665585
40,-2.273434094821135e-56,0.0,-1339.2243288544582,-2557.5964888665585
41,-5.3464493383463945e-55,0.0,-1339.2243288544582,-2557.5964888665585
42,-1.0821645047804819e-53,0.0,-1339.2243288544582,-2557.5964888665585
43,-1.905157477882134e-52,0.0,-1339.2243288544582,-2557.5964888665585
44,-2.945275033927083e-51,0.0,-1339.2243288544582,-2557.5964888665585
45,-4.0332482141344966e-50,0.0,-1339.2243288544582,-2557.5964888665585
46,-4.9313348551473446e-49,0.0,-1339.2243288544582,-2557.5964888665585
47,-5.422576993083681e-48,0.0,-1339.2243288544582,-2557.5964888665585
48,-5.398407943261697e-47,0.0,-1339.2243288544582,-2557.5964888665585
49,-4.895469877166615e-46,0.0,-1339.2243288544582,-2557.5964888665585
50,-4.0665724922815476e-45,0.0,-1339.2243288544582,-2557.5964888665585
51,-3.110374350095459e-44,0.0,-1339.2243288544582,-2557.5964888665585
52,-2.2009885198039673e-43,0.0,-1339.2243288544582,-2557.5964888665585
53,-1.4472972158342108e-42,0.0,-1339.2243288544582,-2557.5964888665585
54,-8.87981488375693e-42,0.0,-1339.2243288544582,-2557.5964888665585
55,-5.102679776278376e-41,0.0,-1339.2243288544582,-2557.5964888665585
56,-2.755910599022038e-40,0.0,-1339.2243288544582,-2557.5964888665585
57,-1.4035282069878178e-39,0.0,-1339.2243288544582,-2557.5964888665585
58,-6.760597861186258e-39,0.0,-1339.2243288544582,-2557.5964888665585
59,-3.0887731937614436e-38,0.0,-1339.2243288544582,-2557.5964888665585
60,-1.3420562614578313e-37,0.0,-1339.2243288544582,-2557.5964888665585
61,-5.559178633864563e-37,0.0,-1339.2243288544582,-2557.5964888665585
62,-2.200431528871342e-36,0.0,-1339.2243288544582,-2557.5964888665585
63,-8.340666603558217e-36,0.0,-1339.2243288544582,-2557.5964888665585
64,-3.03367411748848e-35,0.0,-1339.2243288544582,-2557.5964888665585
65,-1.0608102855745667e-34,0.0,-1339.2243288544582,-2557.5964888665585
66,-3.5725838007855446e-34,0.0,-1339.2243288544582,-2557.5964888665585
67,-1.1607320361770162e-33,0.0,-1339.2243288544582,-2557.5964888665585
68,-3.6439497550840994e-33,0.0,-1339.2243288544582,-2557.5964888665585
69,-1.1070057423813005e-32,0.0,-1339.2243288544582,-2557.5964888665585
70,-3.2589202332153585e-32,0.0,-1339.2243288544582,-2557.5964888665585
71,-9.309340073965974e-32,0.0,-1339.2243288544582,-2557.5964888665585
72,-2.5836184133219803e-31,0.0,-1339.2243288544582,-2557.5964888665585
73,-6.974537463289196e-31,0.0,-1339.2243288544582,-2557.5964888665585
74,-1.833435083370758e-30,0.0,-1339.2243288544582,-2557.5964888665585
75,-4.698274531674454e-30,0.0,-1339.2243288544582,-2557.5964888665585
76,-1.1748148733261208e-29,0.0,-1339.2243288544582,-2557.5964888665585
77,-2.869270816874095e-29,0.0,-1339.2243288544582,-2557.5964888665585
78,-6.850723205137344e-29,0.0,-1339.2243288544582,-2557.5964888665585
79,-1.6004274099897985e-28,0.0,-1339.2243288544582,-2557.5964888665585
80,-3.6612008739277208e-28,0.0,-1339.2243288544582,-2557.5964888665585
81,-8.20795684050184e-28,0.0,-1339.2243288544582,-2557.5964888665585
82,-1.804637824415796e-27,0.0,-1339.2243288544582,-2557.5964888665585
83,-3.893971009243617e-27,0.0,-1339.2243288544582,-2557.5964888665585
84,-8.25149731722807e-27,0.0,-1339.2243288544582,-2557.5964888665585
85,-1.7182498723815513e-26,0.0,-1339.2243288544582,-2557.5964888665585
86,-3.5181689292508416e-26,0.0,-1339.2243288544582,-2557.5964888665585
87,-7.087206579937422e-26,0.0,-1339.2243288544582,-2557.5964888665585
88,-1.4054045675323554e-25,0.0,-1339.2243288544582,-2557.5964888665585
89,-2.7448876523655097e-25,0.0,-1339.2243288544582,-2557.5964888665585
90,-5.282793729392435e-25,0.0,-1339.2243288544582,-2557.5964888665585
91,-1.00236969085006e-24,0.0,-1339.2243288544582,-2557.5964888665585
92,-1.8759343684123302e-24,0.0,-1339.2243288544582,-2557.5964888665585
93,-3.4643714846830824e-24,0.0,-1339.2243288544582,-2557.5964888665585
94,-6.315851345471617e-24,0.0,-1339.2243288544582,-2557.5964888665585
95,-1.1371448689898618e-23,0.0,-1339.2243288544582,-2557.5964888665585
96,-2.0227614303341284e-23,0.0,-1339.2243288544582,-2557.5964888665585
97,-3.556150191143647e-23,0.0,-1339.2243288544582,-2557.5964888665585
98,-6.181261332103208e-23,0.0,-1339.2243288544582,-2557.5964888665585
99,-1.062635862579174e-22,0.0,-1339.2243288544582,-2557.5964888665585
100,-1.8073615034753482e-22,0.0,-1339.2243288544582,-2557.5964888665585
101,-3.0422576085808115e-22,0.0,-1339.2243288544582,-2557.5964888665585
102,-5.069547367891496e-22,0.0,-1339.2243288544582,-2557.5964888665585
103,-8.365489626730068e-22,0.0,-1339.2243288544582,-2557.5964888665585
104,-1.3673648353690173e-21,0.0,-1339.2243288544582,-2557.5964888665585
105,-2.2144484059025523e-21,0.0,-1339.2243288544582,-2557.5964888665585
106,-3.554247684626832e-21,0.0,-1339.2243288544582,-2557.5964888665585
107,-5.655088672804451e-21,0.0,-1339.2243288544582,-2557.5964888665585
108,-8.921654285186321e-21,0.0,-1339.2243288544582,-2557.5964888665585
109,-1.3959389055311338e-20,0.0,-1339.2243288544582,-2557.5964888665585
110,-2.1667042710394178e-20,0.0,-1339.2243288544582,-2557.5964888665585
111,-3.3368658189506876e-20,0.0,-1339.2243288544582,-2557.5964888665585
112,-5.100045605569876e-20,0.0,-1339.2243288544582,-2557.5964888665585
113,-7.737358857155344e-20,0.0,-1339.2243288544582,-2557.5964888665585
114,-1.165410399271284e-19,0.0,-1339.2243288544582,-2557.5964888665585
115,-1.7430654675266311e-19,0.0,-1339.2243288544582,-2557.5964888665585
116,-2.5892594653579816e-19,0.0,-1339.2243288544582,-2557.5964888665585
117,-3.8206762872514404e-19,0.0,-1339.2243288544582,-2557.5964888665585
118,-5.601197506235248e-19,0.0,-1339.2243288544582,-2557.5964888665585
119,-8.159588003449649e-19,0.0,-1339.2243288544582,-2557.5964888665585
120,-1.1813284244953804e-18,0.0,-1339.2243288544582,-2557.5964888665585
121,-1.700020990905406e-18,0.0,-1339.2243288544582,-2557.5964888665585
122,-2.4321093056997125e-18,0.0,-1339.2243288544582,-2557.5964888665585
123,-3.4595448702843742e-18,0.0,-1339.2243288544582,-2557.5964888665585
124,-4.893525184233316e-18,0.0,-1339.2243288544582,-2557.5964888665585
125,-6.884139609891832e-18,0.0,-1339.2243288544582,-2557.5964888665585
126,-9.632935640418749e-18,0.0,-1339.2243288544582,-2557.5964888665585
127,-1.340921027607739e-17,0.0,-1339.2243288544582,-2557.5964888665585
128,-1.8571030743701076e-17,0.0,-1339.2243288544582,-2557.5964888665585
129,-2.5592232155780148e-17,0.0,-1339.2243288544582,-2557.5964888665585
130,-3.509693523527825e-17,0.0,-1339.2243288544582,-2557.5964888665585
